2021-06-30 18:06:549 INFO  BuildYourOwnComputerPage :42 - Getting build computer text[[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 18:06:788 INFO  BuildYourOwnComputerPage :48 - Select processor option [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: //dd[@id='product_attribute_input_1']/select[@id='product_attribute_1']]
2021-06-30 18:06:975 INFO  BuildYourOwnComputerPage :53 - Select RAM option [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: //dd[@id='product_attribute_input_2']/select[@id='product_attribute_2']]
2021-06-30 18:06:103 INFO  BuildYourOwnComputerPage :58 - Click on radio button [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: //ul[@class='option-list']/li[@data-attr-value='7']/input[@id='product_attribute_3_7']]
2021-06-30 18:06:208 INFO  BuildYourOwnComputerPage :63 - Click on radio button [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: //li[@data-attr-value='9']/input[@id='product_attribute_4_9']]
2021-06-30 18:06:240 INFO  BuildYourOwnComputerPage :72 - Getting total price from element [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: //div[@class='product-price']/span[@id='price-value-1']]
2021-06-30 18:06:372 INFO  BuildYourOwnComputerPage :78 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: //div[@class='add-to-cart-panel']/button[@id='add-to-cart-button-1']]
2021-06-30 18:06:400 INFO  BuildYourOwnComputerPage :82 - Getting green bar message [[ChromeDriver: chrome on WINDOWS (c13ab4cb3b6d68f677a0e7de12e5ab48)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
2021-06-30 18:06:183 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:736 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (bae7a17dab3af139504e666d993cb66c)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 18:06:790 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (bae7a17dab3af139504e666d993cb66c)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 18:06:177 INFO  HomePage :58 - Clicking computer sub menu product element [[ChromeDriver: chrome on WINDOWS (bae7a17dab3af139504e666d993cb66c)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 18:06:206 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:247 INFO  HomePage :34 - Clicking on element [[ChromeDriver: chrome on WINDOWS (aeef9afb79b4a4b12ba3b1f379872fcf)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 18:06:290 INFO  HomePage :42 - Getting text from element [[ChromeDriver: chrome on WINDOWS (aeef9afb79b4a4b12ba3b1f379872fcf)] -> xpath: //div[@class='page-title']]
2021-06-30 18:06:57 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:404 INFO  HomePage :34 - Clicking on element [[ChromeDriver: chrome on WINDOWS (5ab962afc6198415f8bb0e866e3b0d66)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 18:06:459 INFO  HomePage :42 - Getting text from element [[ChromeDriver: chrome on WINDOWS (5ab962afc6198415f8bb0e866e3b0d66)] -> xpath: //div[@class='page-title']]
2021-06-30 18:06:256 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:150 INFO  HomePage :34 - Clicking on element [[ChromeDriver: chrome on WINDOWS (19c94a93cb51d26537f01d304a6b3d21)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 18:06:193 INFO  HomePage :42 - Getting text from element [[ChromeDriver: chrome on WINDOWS (19c94a93cb51d26537f01d304a6b3d21)] -> xpath: //div[@class='page-title']]
2021-06-30 18:06:977 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:761 INFO  HomePage :34 - Clicking on element [[ChromeDriver: chrome on WINDOWS (b037c022fe6a48fb54f71aee19ca075f)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 18:06:791 INFO  HomePage :42 - Getting text from element [[ChromeDriver: chrome on WINDOWS (b037c022fe6a48fb54f71aee19ca075f)] -> xpath: //div[@class='page-title']]
2021-06-30 18:06:585 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:683 INFO  HomePage :34 - Clicking on element [[ChromeDriver: chrome on WINDOWS (fa2cd671827eccf890034931a4e3b1ee)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 18:06:712 INFO  HomePage :42 - Getting text from element [[ChromeDriver: chrome on WINDOWS (fa2cd671827eccf890034931a4e3b1ee)] -> xpath: //div[@class='page-title']]
2021-06-30 18:06:562 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:671 INFO  HomePage :42 - Getting text from element Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='page-title']'
2021-06-30 18:06:769 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 18:06:366 INFO  HomePage :34 - Clicking on element [[ChromeDriver: chrome on WINDOWS (a31293f2f63139d3a5f6686e953d24f9)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 18:06:404 INFO  HomePage :42 - Getting text from element [[ChromeDriver: chrome on WINDOWS (a31293f2f63139d3a5f6686e953d24f9)] -> xpath: //div[@class='page-title']]
